formattedAddress,location,rating,displayName,latitude,longitude,address
"1663 Nostrand Ave, Brooklyn, NY 11226, USA","{'latitude': 40.6455743, 'longitude': -73.94884739999999}",5.0,"{'text': 'Caonabo Café', 'languageCode': 'en'}",40.645535492421,-73.949017626263,1668 Nostrand Avenue
"320 E 6th St, New York, NY 10003, USA","{'latitude': 40.7268273, 'longitude': -73.9875806}",4.7,"{'text': 'Adore', 'languageCode': 'en'}",40.72700831208,-73.987599557418,335 East 6 Street
"318 E 6th St, New York, NY 10003, USA","{'latitude': 40.7268372, 'longitude': -73.9876745}",4.1,"{'text': 'Malai Marke', 'languageCode': 'en'}",40.72700831208,-73.987599557418,335 East 6 Street
"134 Eldridge St, New York, NY 10002, USA","{'latitude': 40.718882, 'longitude': -73.99137999999999}",4.2,"{'text': 'Attaboy', 'languageCode': 'en'}",40.718941802508,-73.991569300758,133 Eldridge Street
"134 Eldridge St, New York, NY 10002, USA","{'latitude': 40.718896699999995, 'longitude': -73.9913819}",4.6,"{'text': ""Good Guy's"", 'languageCode': 'en'}",40.718941802508,-73.991569300758,133 Eldridge Street
"137 Eldridge St, New York, NY 10002, USA","{'latitude': 40.7191186, 'longitude': -73.99169309999999}",5.0,"{'text': 'Bistrot Ha', 'languageCode': 'en'}",40.718941802508,-73.991569300758,133 Eldridge Street
"134 Eldridge St, New York, NY 10002, USA","{'latitude': 40.718882, 'longitude': -73.99137999999999}",4.2,"{'text': 'Attaboy', 'languageCode': 'en'}",40.718988461701,-73.9915440424,135 Eldridge Street
"134 Eldridge St, New York, NY 10002, USA","{'latitude': 40.718896699999995, 'longitude': -73.9913819}",4.6,"{'text': ""Good Guy's"", 'languageCode': 'en'}",40.718988461701,-73.9915440424,135 Eldridge Street
"137 Eldridge St, New York, NY 10002, USA","{'latitude': 40.7191186, 'longitude': -73.99169309999999}",5.0,"{'text': 'Bistrot Ha', 'languageCode': 'en'}",40.718988461701,-73.9915440424,135 Eldridge Street
"2167 Frederick Douglass Blvd, New York, NY 10026, USA","{'latitude': 40.805037999999996, 'longitude': -73.955184}",4.7,"{'text': 'Levain Bakery', 'languageCode': 'en'}",40.804827766611,-73.955053883191,2162 8 Avenue
