inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
Initial,14236984,PC8655319,1,2030560015,2,03056,0015,566,EAST 188 STREET,10458,40.856953869356,-73.887877049981,Bronx,2026-01-30T10:34:00.000,Rat Activity,2026-02-06T13:25:39.000,"{'latitude': '40.856953869356', 'longitude': '-73.887877049981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,387,2011718,Belmont,,
Compliance,14235085,PC8647080,2,4006750021,4,00675,0021,34-06,43 STREET,11101,40.755341784334,-73.918653434745,Queens,2026-01-30T10:34:00.000,Failed for Rat Act,2026-02-03T10:06:49.000,"{'latitude': '40.755341784334', 'longitude': '-73.918653434745', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,159,4010972,Astoria (East)-Woodside (North),1006787,214481
Initial,14235205,PC8655548,1,,2,03212,0001,AQUEDUCT,AVENUE,10468,,,Bronx,2026-01-30T10:38:00.000,Failed for Rat Act,2026-02-04T15:08:48.000,,,,,,,,
Compliance,14235107,PC8520538,10,1021760104,1,02176,0104,770,WEST  181 STREET,10033,40.85077220305,-73.937867513019,Manhattan,2026-01-30T10:40:03.000,Rat Activity,2026-02-02T09:34:57.000,"{'latitude': '40.85077220305', 'longitude': '-73.937867513019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,265,1064275,Washington Heights (North),,
Initial,14235089,PC8664215,1,2037400026,2,03740,0026,1146,ELDER AVENUE,10472,40.82724389512,-73.878850482162,Bronx,2026-01-30T10:40:43.000,Failed for Other R,2026-02-02T10:25:37.000,"{'latitude': '40.82724389512', 'longitude': '-73.878850482162', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,18,5002,2023854,Soundview-Bruckner-Bronx River,,
Treatments,3062431,PC8558790,25,1021010055,1,02101,0055,675,Riverside Drive,10031,40.826809268533,-73.952198877717,Manhattan,2026-01-30T10:41:57.000,Bait applied,2026-02-03T08:33:48.000,"{'latitude': '40.826809268533', 'longitude': '-73.952198877717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1000000,Hamilton Heights-Sugar Hill,,
Initial,14235092,PC8664192,1,2022910023,2,02291,0023,413,EAST  146 STREET,10455,40.813881842718,-73.918596056862,Bronx,2026-01-30T10:43:10.000,Failed for Other R,2026-02-02T09:29:09.000,"{'latitude': '40.813881842718', 'longitude': '-73.918596056862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,8,43,2091070,Mott Haven-Port Morris,,
Compliance,14235086,PC8647079,2,4006750023,4,00675,0023,34-10,43 STREET,11101,40.75522382621,-73.918747425362,Queens,2026-01-30T10:48:00.000,Rat Activity,2026-02-03T10:06:23.000,"{'latitude': '40.75522382621', 'longitude': '-73.918747425362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,159,4010974,Astoria (East)-Woodside (North),1006761,214438
Initial,14235091,PC8645303,1,2037760066,2,03776,0066,1225,STRATFORD AVENUE,10472,40.830149989337,-73.875730295211,Bronx,2026-01-30T10:55:00.000,Failed for Other R,2026-02-02T09:26:30.000,"{'latitude': '40.830149989337', 'longitude': '-73.875730295211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,17,54,2025352,Soundview-Bruckner-Bronx River,1018640,241750
Initial,14235306,PC8664240,1,4006590008,4,00659,0008,37-01,31 AVENUE,11103,40.762016973423,-73.918558614771,Queens,2026-01-30T11:00:00.000,Failed for Rat Act,2026-02-03T11:48:12.000,"{'latitude': '40.762016973423', 'longitude': '-73.918558614771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,63,4010553,Astoria (Central),,
