job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,letter_type,observations,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
PC8761386,2026-08-31T10:00:53.000,Initial,3145,ROCHAMBEAU AVENUE,10467,Bronx,Failed for Rat Activity and Other Reason,COTA,"Droppings, Burrows, Harborage",2033350012,2,3335,12,40.874422000463,-73.880369676899,"{'latitude': '40.874422000463', 'longitude': '-73.880369676899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,419,2017986,Norwood,1017334,257878
PC8768531,2026-08-31T10:00:53.000,Initial,322,UNION AVENUE,11211,Brooklyn,Failed for Rat Activity,COTA,Burrows,3027910006,3,2791,6,40.710060533549,-73.950959152036,"{'latitude': '40.710060533549', 'longitude': '-73.950959152036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,513,3323057,Williamsburg,997846,197977
PC8721644,2026-08-31T10:00:57.000,Compliance,1048,FRANKLIN AVENUE,10456,Bronx,Failed for Rat Activity,Summons Issued,Burrows,2026070026,2,2607,26,40.826781988395,-73.907519722728,"{'latitude': '40.826781988395', 'longitude': '-73.907519722728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,18502,2004177,Morrisania,,
PC8706397,2026-08-31T10:01:18.000,Treatments,326,STOCKHOLM STREET,11237,Brooklyn,Bait applied,,,3032590027,3,3259,27,40.7033643594,-73.918965962853,"{'latitude': '40.7033643594', 'longitude': '-73.918965962853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,443,3074240,Bushwick (West),1006718,195544
PC8749443,2026-08-31T10:03:00.000,Compliance,963,WOODYCREST AVENUE,10452,Bronx,Failed for Rat Activity,Summons Issued,Runways,2025110068,2,2511,68,40.831663545348,-73.92875379778,"{'latitude': '40.831663545348', 'longitude': '-73.92875379778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,189,2003187,Highbridge,1003966,242285
PC8757647,2026-08-31T10:03:06.000,Compliance,621,MARCY AVENUE,11206,Brooklyn,Failed for Rat Activity,Summons Issued,Droppings,3017670104,3,1767,104,40.693497647214,-73.948822142025,"{'latitude': '40.693497647214', 'longitude': '-73.948822142025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3393751,Bedford-Stuyvesant (West),,
PC8767176,2026-08-31T10:04:00.000,Initial,210,EAST   83 STREET,10028,Manhattan,Failed for Other Reason,COTA,Garbage,1015280042,1,1528,42,40.776644610332,-73.95491772226,"{'latitude': '40.776644610332', 'longitude': '-73.95491772226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,138,1048676,Upper East Side-Yorkville,996736,222235
PC8676204,2026-08-31T10:04:52.000,Compliance,1131,OGDEN AVENUE,10452,Bronx,Failed for Rat Activity and Other Reason,Summons Issued,"Burrows, Harborage",2025260090,2,2526,90,40.836279408974,-73.927494820655,"{'latitude': '40.836279408974', 'longitude': '-73.927494820655', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,199,2088158,Highbridge,,
PC8712376,2026-08-31T10:05:00.000,Treatments,562,OVINGTON AVENUE,11209,Brooklyn,Bait applied,,,3058930038,3,5893,38,40.631818480212,-74.0197467289,"{'latitude': '40.631818480212', 'longitude': '-74.0197467289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,47,130,3146670,Bay Ridge,978769,169468
PC8759385,2026-08-31T10:05:00.000,Initial,173,WEST TREMONT AVENUE,10453,Bronx,Failed for Other Reason,COTA,Harborage,2028790103,2,2879,103,40.85095310307,-73.915900954658,"{'latitude': '40.85095310307', 'longitude': '-73.915900954658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,24501,2009091,University Heights (South)-Morris Heights,1007516,249316
