job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,letter_type,observations,x_coord,y_coord
PC8768823,2026-09-08T12:00:07.000,Initial,1451,WASHINGTON AVENUE,10456,Bronx,Failed for Other Reason,2029020036,2,2902,36,40.836451579517,-73.904015215425,"{'latitude': '40.836451579517', 'longitude': '-73.904015215425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,16,14702,2092075,Claremont Village-Claremont (East),City Agency Referral,Garbage,,
PC8709913,2026-09-08T12:02:00.000,Compliance,81,PULASKI STREET,11206,Brooklyn,Failed for Rat Activity,3017710001,3,1771,1,40.692520107148,-73.947932200043,"{'latitude': '40.692520107148', 'longitude': '-73.947932200043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3049316,Bedford-Stuyvesant (West),Summons Issued,"Droppings, Burrows, Runways, Gnawing",998689,191587
PC8774029,2026-09-08T12:03:05.000,Initial,37,MARKET STREET,10002,Manhattan,Failed for Other Reason,1002770020,1,277,20,40.712469811365,-73.994394510222,"{'latitude': '40.712469811365', 'longitude': '-73.994394510222', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,8,1079615,Chinatown-Two Bridges,COTA,Harborage,,
PC8763636,2026-09-08T12:04:00.000,Compliance,208,HIMROD STREET,11237,Brooklyn,Failed for Rat Activity,3032780017,3,3278,17,40.699122217371,-73.920792377438,"{'latitude': '40.699122217371', 'longitude': '-73.920792377438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,431,3074776,Bushwick (West),,"Droppings, Runways, Gnawing",,
PC8680398,2026-09-08T12:04:40.000,Compliance,2902,FREDRICK DOUGLASS BL,10039,Manhattan,Failed for Rat Activity and Other Reason,1020390063,1,2039,63,40.828279112651,-73.937924732195,"{'latitude': '40.828279112651', 'longitude': '-73.937924732195', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,236,1000000,Harlem (North),Summons Issued,"Burrows, Harborage",,
PC8588685,2026-09-08T12:05:00.000,Compliance,247,53 STREET,11220,Brooklyn,Failed for Rat Activity,3008050064,3,805,64,40.646772397866,-74.017625064879,"{'latitude': '40.646772397866', 'longitude': '-74.017625064879', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,38,20,3013814,Sunset Park (West),Summons Issued,Burrows,979359,174916
PC8751743,2026-09-08T12:05:36.000,Compliance,255,WEST 93 STREET,10025,Manhattan,Failed for Rat Activity,1012410108,1,1241,108,40.792995480271,-73.973830953465,"{'latitude': '40.792995480271', 'longitude': '-73.973830953465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,7,179,1033656,Upper West Side (Central),Summons Issued,Droppings,991496,228190
PC8766637,2026-09-08T12:06:50.000,Initial,74,WEST 174 STREET,10453,Bronx,Failed for Other Reason,2028760025,2,2876,25,40.847201580837,-73.91662861038,"{'latitude': '40.847201580837', 'longitude': '-73.91662861038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,21502,2008802,University Heights (South)-Morris Heights,,Harborage,,
PC8770166,2026-09-08T12:09:00.000,Initial,274,BONNER PLACE,10456,Bronx,Failed for Rat Activity and Other Reason,2024230007,2,2423,7,40.82760411662,-73.916584605528,"{'latitude': '40.82760411662', 'longitude': '-73.916584605528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,173,2001989,Concourse-Concourse Village,COTA,"Droppings, Harborage",,
PC8554034,2026-09-08T12:10:43.000,Treatments,1734,Amsterdam Ave,10031,Manhattan,Bait applied,1020770036,1,2077,36,40.82574213954,-73.947242198366,"{'latitude': '40.82574213954', 'longitude': '-73.947242198366', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,7,229,1061946,Hamilton Heights-Sugar Hill,,,,
