inspection_type,job_ticket_or_work_order_id,job_id,job_progress,bbl,boro_code,block,lot,house_number,street_name,zip_code,x_coord,y_coord,latitude,longitude,borough,inspection_date,result,approved_date,location,community_board,council_district,census_tract,bin,nta
Initial,14316857,PC8730840,1,1019430147,1,1943,147,390,MANHATTAN AVENUE,10026,,,40.805393755815,-73.956538110413,Manhattan,2026-06-08T10:25:00.000,Failed for Rat Activity,2026-06-09T12:48:29.000,"{'latitude': '40.805393755815', 'longitude': '-73.956538110413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,20102,1059049,Harlem (South)
Compliance,14317368,PC8612110,6,2033120068,2,3312,68,169,EAST 205 STREET,10458,,,40.875286175938,-73.885350972831,Bronx,2026-06-08T10:25:03.000,Failed for Rat Activity,2026-06-09T10:31:17.000,"{'latitude': '40.875286175938', 'longitude': '-73.885350972831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,413,2017392,Bedford Park
Initial,14317442,PC8732441,1,2028500034,2,2850,34,55,EAST  175 STREET,10453,1008798,247965,40.847241485318,-73.911271909037,Bronx,2026-06-08T10:25:55.000,Failed for Other Reason,2026-06-09T10:52:06.000,"{'latitude': '40.847241485318', 'longitude': '-73.911271909037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,22701,2115885,Mount Hope
Treatments,3079607,PC8503584,14,3006610004,3,661,4,793,4 ave,11232,,,40.659007236057,-73.999509824141,Brooklyn,2026-06-08T10:26:00.000,Bait applied,2026-06-08T13:44:33.000,"{'latitude': '40.659007236057', 'longitude': '-73.999509824141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,38,101,3009756,Sunset Park (West)
Treatments,3079633,PC8622808,5,2030790001,2,3079,1,1963,Belmont Ave.,10457,,,40.846014200549,-73.89161840132,Bronx,2026-06-08T10:26:14.000,Bait applied,2026-06-08T14:39:22.000,"{'latitude': '40.846014200549', 'longitude': '-73.89161840132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,373,2092276,Tremont
Initial,14316713,PC8732016,1,3027640019,3,2764,19,724,METROPOLITAN AVENUE,11211,999493,199581,40.714457703145,-73.945014771916,Brooklyn,2026-06-08T10:27:00.000,Failed for Other Reason,2026-06-09T12:25:12.000,"{'latitude': '40.714457703145', 'longitude': '-73.945014771916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,497,3068868,East Williamsburg
Compliance,14317269,PC8651806,5,1016440059,1,1644,59,136,EAST 117 STREET,10035,,,40.799491419149,-73.941614117842,Manhattan,2026-06-08T10:29:08.000,Failed for Rat Activity,2026-06-09T09:10:51.000,"{'latitude': '40.799491419149', 'longitude': '-73.941614117842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,182,1052315,East Harlem (North)
Treatments,3079620,PC8629182,7,3010040034,3,1004,34,268,8 STREET,11215,988010,183409,40.670084359276,-73.986445819759,Brooklyn,2026-06-08T10:29:45.000,Bait applied,2026-06-08T13:59:42.000,"{'latitude': '40.670084359276', 'longitude': '-73.986445819759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,39,137,3022090,Park Slope
Treatments,3079664,PC8611707,9,2033270060,2,3327,60,3405,KOSSUTH AVENUE,10467,,,40.880308079411,-73.881707917657,Bronx,2026-06-08T10:30:13.000,Bait applied,2026-06-08T14:15:23.000,"{'latitude': '40.880308079411', 'longitude': '-73.881707917657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,421,2017764,Norwood
Initial,14316859,PC8731243,1,1019430019,1,1943,19,386,MANHATTAN AVENUE,10026,,,40.805256556735,-73.956639341508,Manhattan,2026-06-08T10:33:00.000,Failed for Rat Activity,2026-06-09T12:53:19.000,"{'latitude': '40.805256556735', 'longitude': '-73.956639341508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,20102,1059013,Harlem (South)
Compliance,14317065,PC8641306,9,1021220015,1,2122,15,535,WEST 162 STREET,10032,,,40.836495710036,-73.940945473923,Manhattan,2026-06-08T10:35:00.000,Failed for Rat Activity,2026-06-09T10:57:41.000,"{'latitude': '40.836495710036', 'longitude': '-73.940945473923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,245,1062919,Washington Heights (South)
Treatments,3079765,PC8709188,3,4031410053,4,3141,53,85-19,67 AVENUE,11374,1022600,200710,40.717489031482,-73.861655808159,Queens,2026-06-08T10:35:03.000,Bait applied,2026-06-09T08:25:14.000,"{'latitude': '40.717489031482', 'longitude': '-73.861655808159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,30,703,4074142,Rego Park
Compliance,14316750,PC8464883,15,3046950029,3,4695,29,468,E 48 Street,11203,,,40.65049208879,-73.93220942908,Brooklyn,2026-06-08T10:37:47.000,Failed for Rat Activity,2026-06-09T10:13:44.000,"{'latitude': '40.65049208879', 'longitude': '-73.93220942908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,45,860,3102766,East Flatbush-Rugby
Compliance,14317370,PC8621740,6,2033090061,2,3309,61,200,EAST MOSHOLU PARKWAY SOUTH,10458,1016512,257616,40.873705937736,-73.883343256538,Bronx,2026-06-08T10:38:38.000,Failed for Rat Activity,2026-06-09T10:36:06.000,"{'latitude': '40.873705937736', 'longitude': '-73.883343256538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,413,2017286,Bedford Park
Treatments,3079637,PC8682549,4,2031020060,2,3102,60,749,EAST 183 STREET,10458,,,40.851600695152,-73.88415933888,Bronx,2026-06-08T10:41:01.000,Bait applied,2026-06-08T14:38:25.000,"{'latitude': '40.851600695152', 'longitude': '-73.88415933888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,393,2012851,Belmont
Compliance,14317111,PC8719165,2,1017780006,1,1778,6,123,EAST 129 STREET,10035,,,40.807074870969,-73.935928929646,Manhattan,2026-06-08T10:42:44.000,Failed for Rat Activity,2026-06-09T15:26:53.000,"{'latitude': '40.807074870969', 'longitude': '-73.935928929646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,9,242,1054510,East Harlem (North)
Treatments,3079775,PC8634214,5,1014680014,1,1468,14,423,East 73 street,10021,,,40.768193462706,-73.954804329599,Manhattan,2026-06-08T10:43:46.000,Bait applied,2026-06-09T09:14:18.000,"{'latitude': '40.768193462706', 'longitude': '-73.954804329599', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,124,1045871,Upper East Side-Lenox Hill-Roosevelt Island
Compliance,14317095,PC8715808,2,3023407502,3,2340,7502,20,NORTH    5 STREET,11249,994462,201367,40.719369868892,-73.963160094919,Brooklyn,2026-06-08T10:45:00.000,Failed for Other Reason,2026-06-09T12:58:06.000,"{'latitude': '40.719369868892', 'longitude': '-73.963160094919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,555,3391206,Williamsburg
Compliance,14316824,PC8715466,1,1002110016,1,211,16,1,LISPENARD STREET,10013,,,40.720539457665,-74.005010921281,Manhattan,2026-06-08T10:45:32.000,Failed for Rat Activity,2026-06-09T12:36:15.000,"{'latitude': '40.720539457665', 'longitude': '-74.005010921281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,1,33,1002726,Tribeca-Civic Center
Treatments,3079660,PC8699483,4,2033270124,2,3327,124,3459,DEKALB AVENUE,10467,1017125,260497,40.881611209879,-73.881112508429,Bronx,2026-06-08T10:45:45.000,Bait applied,2026-06-08T14:16:48.000,"{'latitude': '40.881611209879', 'longitude': '-73.881112508429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,421,2017778,Norwood
Compliance,14317104,PC8671270,2,1018420019,1,1842,19,23,WEST  106 STREET,10025,,,40.798393457988,-73.960858812084,Manhattan,2026-06-08T10:46:12.000,Failed for Rat Activity,2026-06-09T11:21:45.000,"{'latitude': '40.798393457988', 'longitude': '-73.960858812084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,7,193,1055652,Upper West Side-Manhattan Valley
Initial,14317245,PC8734321,1,,1,288,76,HENRY,STREET,10002,,,,,Manhattan,2026-06-08T10:47:40.000,Failed for Rat Activity,2026-06-09T10:18:16.000,,,,,,
Initial,14317200,PC8728024,1,4005230002,4,523,2,13-06,34 AVENUE,11106,1001921,217579,40.763856150823,-73.936208921082,Queens,2026-06-08T10:48:00.000,Failed for Rat Activity and Other Reason,2026-06-09T09:27:37.000,"{'latitude': '40.763856150823', 'longitude': '-73.936208921082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,26,43,4430808,Queensbridge-Ravenswood-Dutch Kills
Initial,14316715,PC8733413,1,3027770006,3,2777,6,304,GRAHAM AVENUE,11211,999748,198988,40.712832355578,-73.944096292919,Brooklyn,2026-06-08T10:49:00.000,Failed for Rat Activity,2026-06-09T12:13:03.000,"{'latitude': '40.712832355578', 'longitude': '-73.944096292919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,34,495,3069263,East Williamsburg
Compliance,14317137,PC8716299,2,1004067501,1,406,7501,212,AVENUE B,10009,,,40.728596215162,-73.978651389479,Manhattan,2026-06-08T10:51:34.000,Failed for Rat Activity,2026-06-09T11:34:08.000,"{'latitude': '40.728596215162', 'longitude': '-73.978651389479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,34,1005216,East Village
Stoppage,3079730,PC8733445,1,3015520012,3,1552,12,2162,Fulton Street,11233,,,40.678232174835,-73.910217764173,Brooklyn,2026-06-08T10:53:00.000,Stoppage done,2026-06-09T10:09:45.000,"{'latitude': '40.678232174835', 'longitude': '-73.910217764173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,37,369,3042236,Ocean Hill
Compliance,14316837,PC8709877,2,3021880020,3,2188,20,204,ROSS STREET,11211,995574,196676,40.706492800102,-73.959156463899,Brooklyn,2026-06-08T10:53:47.000,Failed for Rat Activity and Other Reason,2026-06-09T11:46:55.000,"{'latitude': '40.706492800102', 'longitude': '-73.959156463899', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,535,3060083,South Williamsburg
Treatments,3079631,PC8659716,3,3010080007,3,1008,7,128,9 STREET,11215,,,40.672418009247,-73.993031608883,Brooklyn,2026-06-08T10:53:58.000,Bait applied,2026-06-08T13:50:15.000,"{'latitude': '40.672418009247', 'longitude': '-73.993031608883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,38,121,3000000,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
Initial,14317067,PC8727184,1,1021220011,1,2122,11,527,WEST 162 STREET,10032,1000631,244021,40.836435251434,-73.940800972429,Manhattan,2026-06-08T10:55:00.000,Failed for Rat Activity and Other Reason,2026-06-09T11:01:33.000,"{'latitude': '40.836435251434', 'longitude': '-73.940800972429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,10,245,1062915,Washington Heights (South)
Initial,14316760,PC8726734,1,3048980004,3,4898,4,885,TROY AVENUE,11203,1001971,176537,40.651205243563,-73.936136856925,Brooklyn,2026-06-08T10:55:47.000,Failed for Rat Activity,2026-06-09T10:12:34.000,"{'latitude': '40.651205243563', 'longitude': '-73.936136856925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17,45,860,3109867,East Flatbush-Rugby
Treatments,3079685,PC8598319,7,3051010029,3,5101,29,575,OCEAN AVENUE,11226,995135,175689,40.648888753751,-73.960773881549,Brooklyn,2026-06-08T10:55:47.000,Bait applied,2026-06-09T13:52:05.000,"{'latitude': '40.648888753751', 'longitude': '-73.960773881549', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,40,51002,3117143,Flatbush
Initial,14317112,PC8733474,1,1017560039,1,1756,39,58,EAST  132 STREET,10037,1001764,234344,40.809872212722,-73.936731799716,Manhattan,2026-06-08T10:56:00.000,Failed for Other Reason,2026-06-09T15:30:23.000,"{'latitude': '40.809872212722', 'longitude': '-73.936731799716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,9,206,1087984,East Harlem (North)
Treatments,3079645,PC8623494,10,2031190048,2,3119,48,2145,MOHEGAN AVENUE,10460,,,40.846858671677,-73.882324256688,Bronx,2026-06-08T10:56:27.000,Bait applied,2026-06-08T14:36:05.000,"{'latitude': '40.846858671677', 'longitude': '-73.882324256688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,363,2000000,West Farms
Initial,14316893,PC8735251,1,1018630017,1,1863,17,111,WEST  108 STREET,10025,,,40.800773688731,-73.962457496582,Manhattan,2026-06-08T10:56:48.000,Failed for Rat Activity,2026-06-09T14:42:30.000,"{'latitude': '40.800773688731', 'longitude': '-73.962457496582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,7,193,1000000,Upper West Side-Manhattan Valley
Treatments,3079770,PC8629937,4,1014490001,1,1449,1,301,EAST   74 STREET,10021,996149,219803,40.769970179361,-73.957041482355,Manhattan,2026-06-08T10:58:03.000,Bait applied,2026-06-09T09:06:15.000,"{'latitude': '40.769970179361', 'longitude': '-73.957041482355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,134,1044923,Upper East Side-Lenox Hill-Roosevelt Island
Initial,14317428,PC8731747,1,2055920099,2,5592,99,2821,COLLIS PLACE,10465,1034514,236183,40.814793676212,-73.818410933543,Bronx,2026-06-08T10:58:49.000,Failed for Other Reason,2026-06-09T10:38:47.000,"{'latitude': '40.814793676212', 'longitude': '-73.818410933543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,13,132,2081115,Throgs Neck-Schuylerville
Treatments,3079665,PC8612067,9,2033270142,2,3327,142,3407,DEKALB AVENUE,10467,,,40.880500948044,-73.88242721511,Bronx,2026-06-08T11:00:00.000,Bait applied,2026-06-08T14:15:00.000,"{'latitude': '40.880500948044', 'longitude': '-73.88242721511', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,421,2017786,Norwood
Initial,14317275,PC8726382,1,4008560131,4,856,131,26-08,DITMARS BOULEVARD,11105,1008182,222794,40.778155256676,-73.913588517546,Queens,2026-06-08T11:00:00.000,Failed for Rat Activity,2026-06-09T10:02:28.000,"{'latitude': '40.778155256676', 'longitude': '-73.913588517546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,101,4018276,Astoria (North)-Ditmars-Steinway
Treatments,3079764,PC8589053,6,4039050021,4,3905,21,98-27,74 AVENUE,11375,1027068,197592,40.708910279757,-73.845557837617,Queens,2026-06-08T11:00:03.000,Bait applied,2026-06-09T08:25:09.000,"{'latitude': '40.708910279757', 'longitude': '-73.845557837617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,29,645,4095537,Forest Hills
Initial,14317323,PC8733101,1,2030390044,2,3039,44,444,EAST 186 STREET,10458,,,40.857455366624,-73.892803490943,Bronx,2026-06-08T11:04:29.000,Failed for Other Reason,2026-06-09T13:48:58.000,"{'latitude': '40.857455366624', 'longitude': '-73.892803490943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,385,2011372,Belmont
Initial,14316845,PC8727643,1,3021940060,3,2194,60,181,KEAP STREET,11211,,,40.705106407102,-73.958367441266,Brooklyn,2026-06-08T11:05:47.000,Failed for Rat Activity,2026-06-09T11:31:35.000,"{'latitude': '40.705106407102', 'longitude': '-73.958367441266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,533,3060165,South Williamsburg
Initial,14316867,PC8731202,1,1019430027,1,1943,27,307,WEST 116 STREET,10026,,,40.804567269729,-73.955707858362,Manhattan,2026-06-08T11:07:00.000,Failed for Rat Activity,2026-06-09T13:04:49.000,"{'latitude': '40.804567269729', 'longitude': '-73.955707858362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,20102,1059019,Harlem (South)
Initial,14317384,PC8728743,1,1017280069,1,1728,69,418,LENOX AVENUE,10037,,,40.811461847221,-73.942777646165,Manhattan,2026-06-08T11:07:20.000,Failed for Other Reason,2026-06-09T10:25:37.000,"{'latitude': '40.811461847221', 'longitude': '-73.942777646165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,208,1053811,Harlem (North)
Compliance,14317372,PC8611655,9,2033090035,2,3309,35,223,EAST 203 STREET,10458,,,40.873760495259,-73.885740517381,Bronx,2026-06-08T11:07:32.000,Failed for Rat Activity,2026-06-09T10:41:50.000,"{'latitude': '40.873760495259', 'longitude': '-73.885740517381', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,413,2092507,Bedford Park
Initial,14317201,PC8734511,1,4005810053,4,581,53,25-04,33 AVENUE,11106,1003947,217182,40.762762184118,-73.928896373081,Queens,2026-06-08T11:08:00.000,Failed for Rat Activity,2026-06-09T09:27:15.000,"{'latitude': '40.762762184118', 'longitude': '-73.928896373081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,53,4007199,Astoria (Central)
Stoppage,3079728,PC8733444,1,3013610024,3,1361,24,1208,ST MARKS AVENUE,11213,,,40.674073627036,-73.929550073798,Brooklyn,2026-06-08T11:09:00.000,Stoppage done,2026-06-09T10:10:00.000,"{'latitude': '40.674073627036', 'longitude': '-73.929550073798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,347,3036086,Crown Heights (North)
Initial,14317152,PC8734274,1,1002920013,1,292,13,102,CANAL STREET,10002,,,40.715505502733,-73.993943341283,Manhattan,2026-06-08T11:10:36.000,Failed for Other Reason,2026-06-09T09:41:57.000,"{'latitude': '40.715505502733', 'longitude': '-73.993943341283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,16,1003761,Chinatown-Two Bridges
Compliance,14317139,PC8716900,2,1004410035,1,441,35,211,AVENUE A,10009,,,40.729820759444,-73.980794194713,Manhattan,2026-06-08T11:11:19.000,Failed for Rat Activity,2026-06-09T11:48:11.000,"{'latitude': '40.729820759444', 'longitude': '-73.980794194713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,2,34,1006022,East Village
Treatments,3079638,PC8684439,4,2030620006,2,3062,6,2112,QUARRY ROAD,10457,,,40.85101961376,-73.893500692355,Bronx,2026-06-08T11:11:27.000,Bait applied,2026-06-08T14:38:00.000,"{'latitude': '40.85101961376', 'longitude': '-73.893500692355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,37504,2011852,Tremont
Initial,14310356,PC8725988,1,2023697502,2,2369,7502,500,EAST  165 STREET,10456,1009561,240495,40.826736146506,-73.908542366589,Bronx,2026-06-08T11:14:00.000,Failed for Other Reason,2026-06-09T08:00:33.000,"{'latitude': '40.826736146506', 'longitude': '-73.908542366589', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,16,18501,2116712,Morrisania
Initial,14316849,PC8734090,1,3022050001,3,2205,1,613,BEDFORD AVENUE,11211,995469,195302,40.702721619844,-73.959537477046,Brooklyn,2026-06-08T11:14:47.000,Failed for Rat Activity,2026-06-09T11:25:45.000,"{'latitude': '40.702721619844', 'longitude': '-73.959537477046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,533,3060304,South Williamsburg
Initial,14317449,PC8720522,1,2032750046,2,3275,46,2567,DECATUR AVENUE,10458,1014400,253577,40.862627488801,-73.890998310362,Bronx,2026-06-08T11:15:00.000,Failed for Rat Activity and Other Reason,2026-06-09T10:13:45.000,"{'latitude': '40.862627488801', 'longitude': '-73.890998310362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,15,39901,2016320,University Heights (North)-Fordham
Treatments,3079763,PC8684510,5,4039020007,4,3902,7,104-07,UNION TURNPIKE,11375,1026021,197400,40.708388308807,-73.849335496949,Queens,2026-06-08T11:15:03.000,Bait applied,2026-06-09T08:24:57.000,"{'latitude': '40.708388308807', 'longitude': '-73.849335496949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,29,645,4095422,Forest Hills
Treatments,3079663,PC8612099,7,,2,3327,75,15,EAST 210 STREET,,,,0.00000000000000000000,0.00000000000000000000,Bronx,2026-06-08T11:15:33.000,Bait applied,2026-06-08T14:15:45.000,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
Compliance,14317373,PC8611842,8,2033090035,2,3309,135,225,EAST 203 STREET,10458,,,40.873746714126,-73.8856826864,Bronx,2026-06-08T11:15:42.000,Failed for Rat Activity,2026-06-09T11:05:58.000,"{'latitude': '40.873746714126', 'longitude': '-73.8856826864', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,413,2092507,Bedford Park
Treatments,3079675,PC8611565,6,3052400001,3,5240,1,1198,OCEAN AVENUE,11230,995950,170032,40.633360483205,-73.957846726116,Brooklyn,2026-06-08T11:15:47.000,Bait applied,2026-06-09T13:52:03.000,"{'latitude': '40.633360483205', 'longitude': '-73.957846726116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,45,764,3327329,Flatbush (West)-Ditmas Park-Parkville
Compliance,14317295,PC8707464,2,3058840001,3,5884,1,47,71 STREET,11209,974657,171019,40.636072125446,-74.034563491137,Brooklyn,2026-06-08T11:15:50.000,Failed for Other Reason,2026-06-09T09:31:12.000,"{'latitude': '40.636072125446', 'longitude': '-74.034563491137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,47,34,3146154,Bay Ridge
Treatments,3079632,PC8684073,3,3010160002,3,1016,2,300,10 STREET,11215,987403,183179,40.66945329846,-73.988634062674,Brooklyn,2026-06-08T11:16:26.000,Bait applied,2026-06-08T13:49:28.000,"{'latitude': '40.66945329846', 'longitude': '-73.988634062674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,38,139,3022520,Park Slope
Initial,14317276,PC8726384,1,4008560032,4,856,32,26-10,DITMARS BOULEVARD,11105,1008184,222792,40.778149761735,-73.913581303285,Queens,2026-06-08T11:17:00.000,Failed for Rat Activity,2026-06-09T10:01:29.000,"{'latitude': '40.778149761735', 'longitude': '-73.913581303285', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,22,101,4018245,Astoria (North)-Ditmars-Steinway
Treatments,3079616,PC8671712,3,3006360015,3,636,15,128,19 STREET,11232,985440,181392,40.664559844289,-73.995732230032,Brooklyn,2026-06-08T11:18:00.000,Bait applied,2026-06-08T13:38:33.000,"{'latitude': '40.664559844289', 'longitude': '-73.995732230032', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,38,143,3009128,Sunset Park (West)
Initial,14317154,PC8734213,1,1002920010,1,292,10,28,FORSYTH STREET,10002,,,40.715110284057,-73.994498898414,Manhattan,2026-06-08T11:19:30.000,Failed for Rat Activity,2026-06-09T09:45:25.000,"{'latitude': '40.715110284057', 'longitude': '-73.994498898414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,16,1003759,Chinatown-Two Bridges
Compliance,14317374,PC8611828,9,2033080043,2,3308,43,203,EAST 202 STREET,10458,,,40.873248080592,-73.886598368393,Bronx,2026-06-08T11:23:31.000,Failed for Rat Activity,2026-06-09T11:21:55.000,"{'latitude': '40.873248080592', 'longitude': '-73.886598368393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,14,413,2017246,Bedford Park
Initial,14317156,PC8734350,1,1002920008,1,292,8,27,FORSYTH STREET,10002,,,40.715368286352,-73.99437622905,Manhattan,2026-06-08T11:24:56.000,Failed for Rat Activity,2026-06-09T09:46:27.000,"{'latitude': '40.715368286352', 'longitude': '-73.99437622905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,16,1003758,Chinatown-Two Bridges
Compliance,14317101,PC8705797,2,3023120006,3,2312,6,155,BEDFORD AVENUE,11211,996224,201114,40.718673224795,-73.95680411283,Brooklyn,2026-06-08T11:26:00.000,Failed for Rat Activity and Other Reason,2026-06-09T12:56:22.000,"{'latitude': '40.718673224795', 'longitude': '-73.95680411283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,33,517,3061804,Williamsburg
Treatments,3079641,PC8669117,4,2030680081,2,3068,81,1997,HUGHES AVENUE,10457,,,40.847059919655,-73.89159138967,Bronx,2026-06-08T11:26:27.000,Bait applied,2026-06-08T14:37:12.000,"{'latitude': '40.847059919655', 'longitude': '-73.89159138967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,373,2011983,Tremont
Compliance,14317113,PC8692316,5,1017600101,1,1760,101,2181,MADISON AVENUE,10037,1002073,235346,40.81259438873,-73.935630976192,Manhattan,2026-06-08T11:26:44.000,Failed for Rat Activity and Other Reason,2026-06-09T15:35:25.000,"{'latitude': '40.81259438873', 'longitude': '-73.935630976192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,9,210,1082614,East Harlem (North)
Treatments,3079667,PC8594541,5,2033350110,2,3335,110,151,EAST MOSHOLU PARKWAY NORTH,10467,1017023,258502,40.876135871992,-73.881491173796,Bronx,2026-06-08T11:30:24.000,Bait applied,2026-06-08T14:13:36.000,"{'latitude': '40.876135871992', 'longitude': '-73.881491173796', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,419,2018005,Norwood
Treatments,3079674,PC8606225,6,3075480043,3,7548,43,2004,GLENWOOD ROAD,11210,996029,169865,40.632901999452,-73.957562394104,Brooklyn,2026-06-08T11:30:47.000,Bait applied,2026-06-09T13:52:04.000,"{'latitude': '40.632901999452', 'longitude': '-73.957562394104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14,45,766,3205715,Flatbush
Compliance,14317375,PC8611659,10,2033080051,2,3308,51,253,EAST 202 STREET,10458,,,40.872823646227,-73.884841781364,Bronx,2026-06-08T11:32:08.000,Failed for Rat Activity,2026-06-09T11:25:13.000,"{'latitude': '40.872823646227', 'longitude': '-73.884841781364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,11,413,2017249,Bedford Park
Treatments,3079762,PC8654735,6,4033410060,4,3341,60,111-03,76 DRIVE,11375,,,40.715410132302,-73.835842683324,Queens,2026-06-08T11:35:03.000,Bait applied,2026-06-09T08:24:49.000,"{'latitude': '40.715410132302', 'longitude': '-73.835842683324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,29,76902,4433894,Forest Hills
