inspection_type,job_id,boro_code,block,lot,house_number,street_name,zip_code,latitude,longitude,borough,inspection_date,result,location,community_board,council_district,census_tract,nta,bbl,bin,x_coord,y_coord
Initial,PC8764619,3,363,10,307,COLUMBIA STREET,11231,40.681615883063,-74.004330158561,Brooklyn,2026-08-10T09:50:00.000,Failed for Other Reason,"{'latitude': '40.681615883063', 'longitude': '-74.004330158561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,39,51,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,3003630010,3000000,,
Initial,PC8761283,1,422,72,48,STANTON STREET,10002,40.722136648969,-73.990753563545,Manhattan,2026-08-10T09:50:00.000,Failed for Other Reason,"{'latitude': '40.722136648969', 'longitude': '-73.990753563545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,1,3601,Lower East Side,1004220072,1005626,,
Treatments,PC8695770,1,763,46,308,WEST 40 STREET,10018,40.756185482625,-73.991319121935,Manhattan,2026-08-10T09:51:52.000,Bait applied,"{'latitude': '40.756185482625', 'longitude': '-73.991319121935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,3,115,Hell's Kitchen,1007630046,1013690,,
Initial,PC8758884,3,1205,3,605,FRANKLIN AVENUE,11238,40.677789299059,-73.955384989199,Brooklyn,2026-08-10T09:52:24.000,Failed for Rat Activity,"{'latitude': '40.677789299059', 'longitude': '-73.955384989199', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,221,Crown Heights (North),3012050003,3029953,,
Stoppage,PC8758243,3,3514,36,1512,PITKIN AVENUE,11212,40.668625639625,-73.917782712668,Brooklyn,2026-08-10T09:53:00.000,Stoppage done,"{'latitude': '40.668625639625', 'longitude': '-73.917782712668', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16,41,900,Brownsville,3035140036,3080924,,
Compliance,PC8721340,2,2627,55,875,CAULDWELL AVENUE,10456,40.822252990531,-73.90730564136,Bronx,2026-08-10T09:55:10.000,Failed for Rat Activity,"{'latitude': '40.822252990531', 'longitude': '-73.90730564136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,17,18502,Morrisania,2026270055,2114195,,
Initial,PC8757117,2,2461,130,1011,SHERIDAN AVENUE,10456,40.829406738003,-73.919487592305,Bronx,2026-08-10T09:55:42.000,Failed for Rat Activity,"{'latitude': '40.829406738003', 'longitude': '-73.919487592305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,18301,Concourse-Concourse Village,2024610130,2002825,,
Treatments,PC8672839,3,1622,42,42,PATCHEN AVENUE,11221,40.690983027271,-73.927682275724,Brooklyn,2026-08-10T09:55:52.000,Bait applied,"{'latitude': '40.690983027271', 'longitude': '-73.927682275724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,387,Bedford-Stuyvesant (East),3016220042,3044156,,
Treatments,PC8722555,2,3294,61,2679,BAINBRIDGE AVENUE,10458,40.865630541403,-73.891333224047,Bronx,2026-08-10T09:55:59.000,Bait applied,"{'latitude': '40.865630541403', 'longitude': '-73.891333224047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,15,40501,Bedford Park,2032940061,2016856,1014306,254671
Stoppage,PC8712391,3,3395,51,87,WEIRFIELD STREET,11221,40.688275385549,-73.913892947291,Brooklyn,2026-08-10T09:56:00.000,Stoppage done,"{'latitude': '40.688275385549', 'longitude': '-73.913892947291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,37,399,Bushwick (East),3033950051,3078221,,
Treatments,PC8573431,3,1634,64,497,MONROE STREET,11221,40.687011451432,-73.937187763716,Brooklyn,2026-08-10T09:56:12.000,Bait applied,"{'latitude': '40.687011451432', 'longitude': '-73.937187763716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,277,Bedford-Stuyvesant (East),3016340064,3044616,,
Initial,PC8757771,1,1915,31,405,LENOX AVENUE,10037,40.811143584385,-73.943034408744,Manhattan,2026-08-10T09:56:40.000,Failed for Rat Activity,"{'latitude': '40.811143584385', 'longitude': '-73.943034408744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,226,Harlem (North),1019150031,1058044,,
Treatments,PC8711865,3,1586,68,347,VERNON AVENUE,11206,40.696041578593,-73.93686187396,Brooklyn,2026-08-10T09:58:00.000,Bait applied,"{'latitude': '40.696041578593', 'longitude': '-73.93686187396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,287,Bedford-Stuyvesant (East),3015860068,3042916,,
Compliance,PC8735978,3,1682,76,225,BAINBRIDGE STREET,11233,40.68133252946,-73.927891081069,Brooklyn,2026-08-10T09:58:00.000,Failed for Rat Activity,"{'latitude': '40.68133252946', 'longitude': '-73.927891081069', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,381,Bedford-Stuyvesant (East),3016820076,3047614,1004250,187515
Treatments,PC8684439,2,3062,6,2112,QUARRY ROAD,10457,40.85101961376,-73.893500692355,Bronx,2026-08-10T10:00:02.000,Bait applied,"{'latitude': '40.85101961376', 'longitude': '-73.893500692355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,37504,Tremont,2030620006,2011852,,
Initial,PC8764126,1,2052,1,319,WEST  145 STREET,10039,40.823319278776,-73.943056463838,Manhattan,2026-08-10T10:00:25.000,Failed for Rat Activity and Other Reason,"{'latitude': '40.823319278776', 'longitude': '-73.943056463838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,9,231,Hamilton Heights-Sugar Hill,1020520001,1084164,,
Treatments,PC8718316,4,185,17,41-11,40 STREET,11104,40.746391861373,-73.9237350241,Queens,2026-08-10T10:00:48.000,Bait applied,"{'latitude': '40.746391861373', 'longitude': '-73.9237350241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2,26,18101,Sunnyside,4001850017,4002388,1005382,211219
Compliance,PC8746479,1,1643,25,163,EAST 115 STREET,10029,40.797682571474,-73.941500133737,Manhattan,2026-08-10T10:02:25.000,Failed for Rat Activity,"{'latitude': '40.797682571474', 'longitude': '-73.941500133737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,8,182,East Harlem (North),1016430025,1052243,,
Initial,PC8759199,3,1205,11,1134,PACIFIC STREET,11216,40.678181453266,-73.954497828187,Brooklyn,2026-08-10T10:04:00.000,Failed for Other Reason,"{'latitude': '40.678181453266', 'longitude': '-73.954497828187', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,35,221,Crown Heights (North),3012050011,3251075,,
